id,date,retail,pharmacy,parks,transit,workplace,residential
1,2020-02-15,-2,0,-12,-3,1,1
2,2020-02-16,7,4,22,8,2,0
3,2020-02-17,8,3,24,10,3,-1
4,2020-02-18,1,3,12,-27,-2,1
5,2020-02-19,5,5,17,8,4,-1
6,2020-02-20,8,2,7,4,4,-2
7,2020-02-21,-4,-5,-2,1,1,1
8,2020-02-22,-5,-4,-12,-6,2,2
9,2020-02-23,7,7,22,6,4,0
10,2020-02-24,5,3,27,8,3,-1
11,2020-02-25,1,4,13,5,3,-1
12,2020-02-26,2,12,15,5,3,-1
13,2020-02-27,3,22,8,7,3,-1
14,2020-02-28,0,18,7,8,1,0
15,2020-02-29,2,20,19,1,1,0
16,2020-03-01,22,31,84,-1,5,-1
17,2020-03-02,11,-57,152,-14,-67,4
18,2020-03-03,-4,7,5,5,2,-1
19,2020-03-04,-3,4,0,0,4,0
20,2020-03-05,0,7,11,4,4,0
21,2020-03-06,-2,4,9,-1,3,1
22,2020-03-07,-4,2,5,-6,2,2
23,2020-03-08,-4,2,5,-7,2,3
24,2020-03-09,-10,1,-9,-10,-1,2
25,2020-03-10,-6,13,1,-5,1,1
26,2020-03-11,-6,16,13,-13,-11,4
27,2020-03-12,-12,21,15,-17,-14,5
28,2020-03-13,-25,29,6,-26,-19,9
29,2020-03-14,-54,11,1,-35,-26,11
30,2020-03-15,-69,-14,-25,-48,-37,14
31,2020-03-16,-53,-2,-28,-51,-39,16
32,2020-03-17,-54,-14,-25,-52,-44,17
33,2020-03-18,-64,-20,-22,-59,-48,19
34,2020-03-19,-65,-15,-23,-60,-49,20
35,2020-03-20,-67,-12,-26,-61,-50,22
36,2020-03-21,-72,-24,-32,-61,-45,18
37,2020-03-22,-72,59,-41,-63,-41,16
38,2020-03-23,-77,-29,-61,-74,-57,25
39,2020-03-24,-76,-12,-60,-73,-58,25
40,2020-03-25,-86,-85,-67,-86,-84,33
41,2020-03-26,-78,-20,-65,-76,-58,26
42,2020-03-27,-79,-23,-67,-77,-58,29
43,2020-03-28,-80,-24,-63,-74,-52,23
44,2020-03-29,-80,-41,-55,-76,-53,20
45,2020-03-30,-66,-17,-32,-68,-54,22
46,2020-03-31,-71,-18,-48,-70,-56,23
47,2020-04-01,-73,-23,-54,-72,-57,24
48,2020-04-02,-72,-18,-49,-70,-57,24
49,2020-04-03,-78,-16,-58,-73,-57,27
50,2020-04-04,-84,-28,-74,-78,-54,23
51,2020-04-05,-85,-45,-70,-80,-55,21
52,2020-04-06,-73,-17,-50,-72,-56,24
53,2020-04-07,-75,-19,-53,-72,-56,24
54,2020-04-08,-72,-16,-40,-69,-55,23
55,2020-04-09,-71,-10,-33,-67,-55,23
56,2020-04-10,-72,-8,-35,-66,-55,25
57,2020-04-11,-75,-14,-39,-65,-47,20
58,2020-04-12,-74,76,-35,-67,-42,18
59,2020-04-13,-64,-7,-15,-64,-53,21
60,2020-04-14,-68,-3,-33,-65,-54,21
61,2020-04-15,-68,7,-41,-65,-55,22
62,2020-04-16,-68,26,-22,-61,-56,22
63,2020-04-17,-75,-2,-23,-69,-73,30
64,2020-04-18,-78,-7,-39,-67,-52,20
65,2020-04-19,-85,-54,-53,-78,-60,20
66,2020-04-20,-82,-80,-19,-78,-83,30
67,2020-04-21,-75,-12,-39,-68,-55,22
68,2020-04-22,-74,-14,-41,-69,-54,22
69,2020-04-23,-72,-12,-32,-66,-53,22
70,2020-04-24,-72,-8,-21,-64,-52,23
71,2020-04-25,-74,-9,-20,-59,-42,17
72,2020-04-26,-73,-3,-10,-61,-40,15
73,2020-04-27,-63,-4,7,-59,-47,18
74,2020-04-28,-65,-5,-4,-58,-48,17
75,2020-04-29,-64,0,-1,-58,-46,19
76,2020-04-30,-60,28,4,-55,-46,17
77,2020-05-01,-76,-69,0,-70,-77,29
78,2020-05-02,-72,2,-21,-57,-38,16
79,2020-05-03,-71,14,-7,-59,-33,15
80,2020-05-04,-43,4,41,-43,-38,13
81,2020-05-05,-46,2,38,-42,-38,13
82,2020-05-06,-47,4,40,-41,-36,13
83,2020-05-07,-48,9,31,-42,-36,14
84,2020-05-08,-49,9,39,-40,-36,15
85,2020-05-09,-54,4,45,-34,-25,9
86,2020-05-10,-52,36,65,-33,-22,7
87,2020-05-11,-28,8,70,-32,-29,10
88,2020-05-12,-32,9,53,-32,-29,11
89,2020-05-13,-34,6,70,-32,-29,10
90,2020-05-14,-32,11,68,-32,-29,9
91,2020-05-15,-38,10,61,-33,-29,11
92,2020-05-16,-44,7,65,-28,-18,7
93,2020-05-17,-52,35,87,-35,-19,5
94,2020-05-18,-26,9,87,-24,-23,7
95,2020-05-19,-30,8,62,-26,-24,7
96,2020-05-20,-28,11,71,-25,-24,7
97,2020-05-21,-32,9,30,-27,-24,8
98,2020-05-22,-34,11,42,-26,-23,9
99,2020-05-23,-38,8,56,-21,-10,5
100,2020-05-24,-46,43,89,-18,-8,2
101,2020-05-25,-13,7,70,-22,-19,5
102,2020-05-26,-29,1,9,-32,-19,8
103,2020-05-27,-24,8,28,-28,-18,8
104,2020-05-28,-21,12,35,-26,-16,7
105,2020-05-29,-21,13,37,-23,-17,7
106,2020-05-30,-22,8,54,-15,0,3
107,2020-05-31,-30,34,61,-17,3,2
108,2020-06-01,-15,11,51,-19,-13,5
109,2020-06-02,-16,10,44,-17,-12,4
110,2020-06-03,-16,7,54,-18,-12,4
111,2020-06-04,-11,14,70,-12,-12,3
112,2020-06-05,-14,13,60,-11,-13,3
113,2020-06-06,-21,8,56,-13,-3,1
114,2020-06-07,-11,54,135,-14,2,-1
115,2020-06-08,-5,-21,174,-22,-48,3
116,2020-06-09,-15,9,57,-16,-13,2
117,2020-06-10,-12,8,71,-17,-12,3
118,2020-06-11,-8,11,63,-16,-12,3
119,2020-06-12,-12,8,58,-18,-13,3
120,2020-06-13,-16,2,69,-17,1,1
121,2020-06-14,-15,39,110,-15,6,-2
122,2020-06-15,-4,8,88,-15,-12,2
123,2020-06-16,-8,9,61,-16,-11,3
124,2020-06-17,-8,9,68,-17,-12,3
125,2020-06-18,-5,6,69,-16,-12,2
126,2020-06-19,-9,6,68,-17,-13,2
127,2020-06-20,-14,0,84,-15,0,-1
128,2020-06-21,-13,40,106,-13,4,-3
129,2020-06-22,-9,4,62,-21,-14,3
130,2020-06-23,-9,7,50,-17,-13,3
131,2020-06-24,-4,7,75,-17,-11,2
132,2020-06-25,-2,11,80,-13,-10,2
133,2020-06-26,-5,11,80,-12,-12,1
134,2020-06-27,-11,2,93,-10,-1,-2
135,2020-06-28,-9,45,129,-9,5,-5
136,2020-06-29,6,7,121,-10,-12,0
137,2020-06-30,3,10,86,-11,-11,0
138,2020-07-01,4,8,106,-9,-14,0
139,2020-07-02,5,12,104,-7,-14,0
140,2020-07-03,-1,9,98,-7,-15,0
141,2020-07-04,-7,0,110,-6,-3,-3
142,2020-07-05,-5,49,128,-2,1,-5
143,2020-07-06,11,13,135,-5,-16,0
144,2020-07-07,6,11,103,-7,-15,0
145,2020-07-08,8,9,124,-7,-14,0
146,2020-07-09,9,11,126,-4,-14,-1
147,2020-07-10,2,9,112,-10,-15,0
148,2020-07-11,-5,1,121,-6,-2,-4
149,2020-07-12,1,57,159,0,4,-7
150,2020-07-13,17,13,165,-7,-16,-1
151,2020-07-14,10,9,123,-10,-16,-1
152,2020-07-15,15,11,146,-8,-14,-1
153,2020-07-16,15,14,144,-5,-14,-1
154,2020-07-17,6,11,127,-6,-16,-1
155,2020-07-18,-3,-2,130,-3,-2,-4
156,2020-07-19,13,84,169,6,9,-8
157,2020-07-20,22,10,199,-3,-17,-2
158,2020-07-21,13,7,152,-7,-17,-2
159,2020-07-22,15,8,168,-7,-16,-1
160,2020-07-23,15,11,165,-6,-15,-2
161,2020-07-24,7,10,149,-5,-17,-1
162,2020-07-25,-1,-1,148,1,-3,-5
163,2020-07-26,8,65,190,7,5,-8
164,2020-07-27,25,13,225,0,-19,-3
165,2020-07-28,16,11,175,-5,-18,-2
166,2020-07-29,18,12,197,-5,-18,-2
167,2020-07-30,19,15,186,-4,-18,-2
168,2020-07-31,9,13,162,-3,-20,-2
169,2020-08-01,-3,2,152,5,-5,-4
170,2020-08-02,9,72,193,11,3,-7
171,2020-08-03,33,19,267,2,-24,-3
172,2020-08-04,21,15,211,-4,-24,-2
173,2020-08-05,23,14,222,-5,-24,-1
174,2020-08-06,22,15,209,-5,-25,-1
175,2020-08-07,7,8,175,-8,-27,0
176,2020-08-08,-6,-1,142,2,-8,-2
177,2020-08-09,10,76,192,9,4,-4
178,2020-08-10,35,19,307,0,-34,-2
179,2020-08-11,22,11,255,-9,-34,-1
180,2020-08-12,25,13,280,-9,-34,0
181,2020-08-13,23,21,270,-8,-36,-1
182,2020-08-14,11,35,234,-8,-40,0
183,2020-08-15,-16,-61,193,-14,-38,-1
184,2020-08-16,12,82,231,15,-2,-8
185,2020-08-17,30,22,317,-4,-39,-1
186,2020-08-18,17,11,249,-12,-36,1
187,2020-08-19,18,9,265,-13,-35,1
188,2020-08-20,16,7,243,-13,-35,1
189,2020-08-21,3,4,198,-13,-35,2
190,2020-08-22,-7,-7,165,-1,-10,-3
191,2020-08-23,5,59,183,9,6,-6
192,2020-08-24,21,10,232,-7,-26,0
193,2020-08-25,8,7,164,-11,-26,1
194,2020-08-26,14,10,184,-11,-23,1
195,2020-08-27,14,11,174,-10,-23,0
196,2020-08-28,4,7,148,-10,-24,1
197,2020-08-29,-6,-4,132,-1,-5,-3
198,2020-08-30,3,48,154,5,6,-6
199,2020-08-31,18,10,175,-4,-20,-1
200,2020-09-01,10,9,129,-7,-17,0
201,2020-09-02,10,7,143,-10,-17,0
202,2020-09-03,9,9,132,-9,-17,0
203,2020-09-04,2,7,108,-9,-18,1
204,2020-09-05,-4,0,103,-2,-4,-2
205,2020-09-06,3,44,131,4,5,-4
206,2020-09-07,16,10,149,-5,-17,0
207,2020-09-08,7,8,110,-8,-16,0
208,2020-09-09,8,7,117,-11,-15,0
209,2020-09-10,9,10,116,-8,-15,-1
210,2020-09-11,2,8,101,-6,-16,-1
211,2020-09-12,-3,2,95,-2,-2,-3
212,2020-09-13,0,41,111,3,5,-4
213,2020-09-14,18,12,133,-5,-15,-2
214,2020-09-15,5,13,88,-8,-13,-1
215,2020-09-16,5,12,99,-9,-13,-1
216,2020-09-17,1,10,85,-10,-14,-1
217,2020-09-18,-12,3,51,-17,-17,3
218,2020-09-19,-15,-1,43,-13,-5,2
219,2020-09-20,-5,36,81,-4,4,1
220,2020-09-21,8,9,109,-6,-15,0
221,2020-09-22,-1,9,79,-10,-15,0
222,2020-09-23,-3,10,85,-12,-14,1
223,2020-09-24,-3,11,81,-11,-14,1
224,2020-09-25,-6,11,77,-9,-14,1
225,2020-09-26,-14,4,50,-7,-3,2
226,2020-09-27,-6,30,89,-1,5,0
227,2020-09-28,-1,10,87,-10,-14,2
228,2020-09-29,-3,13,66,-11,-13,1
229,2020-09-30,0,16,80,-11,-14,0
230,2020-10-01,-1,17,79,-11,-12,-1
231,2020-10-02,-6,13,70,-8,-13,0
232,2020-10-03,-9,3,73,-3,-3,-1
233,2020-10-04,-7,21,90,-1,1,-2
234,2020-10-05,0,9,93,-8,-14,0
235,2020-10-06,-6,9,67,-12,-14,0
236,2020-10-07,-5,9,75,-12,-13,0
237,2020-10-08,-6,12,60,-12,-12,1
238,2020-10-09,-9,8,58,-11,-12,1
239,2020-10-10,-11,1,63,-6,-3,0
240,2020-10-11,-8,17,84,-3,1,0
241,2020-10-12,-4,8,78,-11,-13,1
242,2020-10-13,-10,8,45,-15,-13,2
243,2020-10-14,-5,9,66,-13,-11,1
244,2020-10-15,-6,12,61,-19,-12,2
245,2020-10-16,-11,9,51,-9,-12,2
246,2020-10-17,-15,3,46,-9,-5,2
247,2020-10-18,-11,19,74,-6,-1,1
248,2020-10-19,-8,7,63,-13,-12,2
249,2020-10-20,-14,4,36,-17,-13,2
250,2020-10-21,-13,6,39,-18,-12,3
251,2020-10-22,-9,11,48,-13,-11,2
252,2020-10-23,-11,13,49,-12,-12,2
253,2020-10-24,-15,6,48,-8,-5,1
254,2020-10-25,-14,23,60,-12,-4,2
255,2020-10-26,-1,7,77,-14,-17,2
256,2020-10-27,1,31,57,-12,-15,0
257,2020-10-28,-33,-66,15,-55,-67,17
258,2020-10-29,-11,25,34,-19,-12,2
259,2020-10-30,-18,16,27,-20,-14,3
260,2020-10-31,-22,6,29,-20,-8,3
261,2020-11-01,-24,9,44,-19,-9,3
262,2020-11-02,-6,11,50,-19,-14,2
263,2020-11-03,-29,9,17,-25,-19,5
264,2020-11-04,-29,9,27,-28,-19,6
265,2020-11-05,-17,24,28,-20,-18,4
266,2020-11-06,-17,28,26,-14,-19,3
267,2020-11-07,-70,-7,-33,-63,-37,16
268,2020-11-08,-69,-12,-18,-62,-37,15
269,2020-11-09,-56,-2,6,-54,-37,14
270,2020-11-10,-60,-1,-12,-55,-39,15
271,2020-11-11,-59,-5,-4,-56,-39,15
272,2020-11-12,-59,-1,-5,-55,-38,15
273,2020-11-13,-63,1,-12,-57,-39,17
274,2020-11-14,-69,-3,-17,-63,-39,15
275,2020-11-15,-69,-21,-1,-63,-41,14
276,2020-11-16,-55,-6,12,-55,-40,14
277,2020-11-17,-59,-8,-3,-56,-43,16
278,2020-11-18,-61,-9,-18,-60,-42,17
279,2020-11-19,-63,-8,-24,-60,-43,17
280,2020-11-20,-65,-4,-26,-61,-43,19
281,2020-11-21,-69,-4,-27,-64,-38,16
282,2020-11-22,-72,-21,-21,-67,-41,15
283,2020-11-23,-56,-9,3,-57,-41,15
284,2020-11-24,-60,-8,-16,-58,-42,16
285,2020-11-25,-60,-7,-17,-60,-41,16
286,2020-11-26,-59,-4,-10,-62,-42,16
287,2020-11-27,-61,0,-13,-57,-41,17
288,2020-11-28,-64,2,-8,-59,-35,14
289,2020-11-29,-72,-19,-30,-67,-39,15
290,2020-11-30,-55,-5,-8,-56,-40,15
291,2020-12-01,-59,-3,-22,-56,-40,16
292,2020-12-02,-57,-1,-13,-56,-39,16
293,2020-12-03,-58,0,-13,-55,-39,16
294,2020-12-04,-64,-4,-33,-59,-41,19
295,2020-12-05,-63,5,-5,-57,-33,13
296,2020-12-06,-65,-11,1,-59,-34,13
297,2020-12-07,-55,-7,-9,-54,-39,15
298,2020-12-08,-55,0,-3,-53,-38,14
299,2020-12-09,-57,-5,-14,-56,-38,15
300,2020-12-10,-62,-11,-33,-59,-40,16
301,2020-12-11,-62,0,-28,-57,-39,17
302,2020-12-12,-64,4,-15,-57,-32,14
303,2020-12-13,-68,10,-23,-61,-33,14
304,2020-12-14,-53,-9,-18,-56,-37,14
305,2020-12-15,-49,3,-4,-49,-36,13
306,2020-12-16,-48,3,8,-48,-35,13
307,2020-12-17,-48,3,7,-46,-36,13
308,2020-12-18,-52,6,-1,-48,-36,15
309,2020-12-19,-56,5,5,-48,-26,11
310,2020-12-20,-58,105,8,-50,-20,11
311,2020-12-21,-40,5,21,-44,-35,11
312,2020-12-22,-43,17,10,-43,-36,11
313,2020-12-23,-36,43,31,-38,-35,10
314,2020-12-24,-34,61,40,-42,-45,12
315,2020-12-25,-75,-76,-8,-75,-80,25
316,2020-12-26,-72,-73,6,-64,-59,17
317,2020-12-27,-61,148,-13,-57,-22,12
318,2020-12-28,-34,11,59,-43,-40,12
319,2020-12-29,-40,17,37,-43,-40,12
320,2020-12-30,-34,45,46,-42,-39,11
321,2020-12-31,-38,50,24,-49,-46,13
322,2021-01-01,-73,-76,12,-73,-79,23
323,2021-01-02,-70,-64,8,-61,-47,15
324,2021-01-03,-63,67,16,-53,-29,12
325,2021-01-04,-58,-2,-15,-57,-41,15
326,2021-01-05,-51,21,23,-49,-39,12
327,2021-01-06,-63,-65,44,-64,-74,23
328,2021-01-07,-54,11,6,-51,-37,13
329,2021-01-08,-58,2,4,-51,-36,15
330,2021-01-09,-62,2,8,-52,-28,12
331,2021-01-10,-62,-3,23,-48,-29,11
332,2021-01-11,-51,1,11,-46,-31,11
333,2021-01-12,-57,-1,-14,-51,-33,12
334,2021-01-13,-54,1,2,-50,-33,10
335,2021-01-14,-57,-3,-6,-52,-35,10
336,2021-01-15,-63,-5,-25,-56,-37,12
337,2021-01-16,-73,-14,-46,-67,-38,13
338,2021-01-17,-70,-8,-21,-62,-35,11
339,2021-01-18,-42,-12,-14,-50,-35,10
340,2021-01-19,-44,-9,-15,-47,-34,10
341,2021-01-20,-43,-4,0,-46,-32,9
342,2021-01-21,-42,-2,2,-44,-32,9
343,2021-01-22,-47,-2,-6,-46,-32,11
344,2021-01-23,-53,-2,-16,-48,-26,10
345,2021-01-24,-51,39,19,-43,-24,9
346,2021-01-25,-39,-4,17,-43,-31,9
347,2021-01-26,-49,-8,-25,-49,-33,10
348,2021-01-27,-47,-5,-18,-50,-32,11
349,2021-01-28,-41,2,-2,-45,-31,10
350,2021-01-29,-41,6,-1,-43,-31,10
351,2021-01-30,-51,6,0,-49,-24,9
352,2021-01-31,-60,7,25,-49,-27,9
353,2021-02-01,-44,0,1,-48,-30,8
354,2021-02-02,-45,2,6,-44,-30,8
355,2021-02-03,-45,-1,17,-46,-29,7
356,2021-02-04,-45,2,16,-44,-30,7
357,2021-02-05,-48,3,11,-45,-30,8
358,2021-02-06,-61,-4,15,-54,-30,9
359,2021-02-07,-64,-5,27,-53,-32,9
360,2021-02-08,-48,-3,3,-47,-32,8
361,2021-02-09,-47,3,4,-45,-31,8
362,2021-02-10,-44,5,19,-43,-30,7
363,2021-02-11,-55,2,-7,-52,-34,10
364,2021-02-12,-55,12,4,-51,-33,10
365,2021-02-13,-67,-2,-35,-64,-34,12
366,2021-02-14,-72,-14,-33,-68,-40,14
367,2021-02-15,-61,-13,-25,-61,-45,15
368,2021-02-16,-66,-20,-11,-70,-59,20
369,2021-02-17,-58,0,-12,-60,-44,15
370,2021-02-18,-53,8,-2,-51,-34,11
371,2021-02-19,-55,10,9,-50,-33,11
372,2021-02-20,-61,2,7,-54,-29,10
373,2021-02-21,-64,-1,18,-54,-32,10
374,2021-02-22,-47,2,32,-46,-32,8
375,2021-02-23,-51,4,22,-47,-32,9
376,2021-02-24,-49,6,31,-47,-32,9
377,2021-02-25,-50,9,17,-47,-32,9
378,2021-02-26,-51,16,23,-46,-32,10
379,2021-02-27,-56,7,34,-49,-28,8
380,2021-02-28,-63,3,21,-52,-31,9
381,2021-03-01,-46,7,33,-44,-31,8
382,2021-03-02,-52,7,2,-48,-32,9
383,2021-03-03,-48,17,25,-46,-31,8
384,2021-03-04,-55,9,8,-50,-34,10
385,2021-03-05,-58,5,9,-50,-36,12
386,2021-03-06,-62,4,10,-55,-30,10
387,2021-03-07,-67,-1,7,-57,-33,11
388,2021-03-08,-50,4,24,-48,-34,10
389,2021-03-09,-55,4,6,-50,-35,10
390,2021-03-10,-54,7,15,-48,-34,11
391,2021-03-11,-57,9,-6,-52,-35,11
392,2021-03-12,-55,21,16,-48,-34,11
393,2021-03-13,-59,21,21,-52,-28,9
394,2021-03-14,-60,28,36,-52,-28,10
395,2021-03-15,-60,-54,40,-65,-76,19
396,2021-03-16,-58,5,-9,-50,-36,11
397,2021-03-17,-55,7,10,-48,-35,11
398,2021-03-18,-54,9,12,-48,-35,11
399,2021-03-19,-57,11,9,-48,-35,13
400,2021-03-20,-65,6,-13,-55,-29,11
401,2021-03-21,-66,2,11,-51,-30,11
402,2021-03-22,-48,8,23,-46,-34,10
403,2021-03-23,-56,8,-19,-53,-35,11
404,2021-03-24,-48,36,15,-46,-34,9
405,2021-03-25,-66,-62,23,-67,-74,22
406,2021-03-26,-52,22,20,-47,-35,12
407,2021-03-27,-54,14,45,-45,-24,8
408,2021-03-28,-53,21,80,-40,-26,7
409,2021-03-29,-44,9,55,-43,-33,9
410,2021-03-30,-48,13,26,-46,-33,9
411,2021-03-31,-51,10,6,-50,-34,10
412,2021-04-01,-50,14,19,-46,-33,10
413,2021-04-02,-49,20,40,-42,-32,10
414,2021-04-03,-49,15,66,-38,-23,5
415,2021-04-04,-51,24,76,-36,-26,6
416,2021-04-05,-42,13,33,-41,-32,8
417,2021-04-06,-43,13,27,-41,-32,9
418,2021-04-07,-42,14,45,-40,-32,8
419,2021-04-08,-46,17,15,-43,-32,10
420,2021-04-09,-46,21,23,-42,-31,10
421,2021-04-10,-45,18,59,-35,-21,5
422,2021-04-11,-45,34,104,-31,-25,5
423,2021-04-12,-35,16,65,-36,-28,6
424,2021-04-13,-41,19,32,-38,-29,7
425,2021-04-14,-38,20,52,-37,-28,7
426,2021-04-15,-36,22,50,-35,-28,7
427,2021-04-16,-44,19,23,-39,-28,8
428,2021-04-17,-46,17,43,-36,-20,6
429,2021-04-18,-50,32,75,-34,-24,6
430,2021-04-19,-35,19,48,-35,-27,6
431,2021-04-20,-35,22,43,-35,-27,6
432,2021-04-21,-33,24,58,-33,-27,6
433,2021-04-22,-33,25,53,-33,-26,6
434,2021-04-23,-39,27,34,-32,-27,7
435,2021-04-24,-50,18,-11,-45,-20,7
436,2021-04-25,-37,127,73,-26,-9,5
437,2021-04-26,-16,35,101,-28,-28,4
438,2021-04-27,-22,40,71,-29,-29,4
439,2021-04-28,-19,49,79,-27,-29,3
